id,name,city,rating,rating_count,cost,cuisine,address
40184,M.A.D By Tomato'S,"Vastrapur,Ahmedabad",4.3,100+ ratings,1200,"Indian,Chinese","M.A.D By Tomato'S, Ground Floor, Sumel Complex, Near Tej Motors, S.G.Highway, Bodakdev, Ahmedabad"
45635,Tea Post,"Vastrapur,Ahmedabad",4,100+ ratings,150,Fast Food,"Tea Post, Ground Floor, Himalaya Arcade, Opp. Vastrapur Lake, Vastrapur, AHmedabad"
483947,Shanghai Chicken Lolipops,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,"Chinese,Fast Food","Shanghai Chicken Lolipops, Shop Address-GF- 17, MANGALJYOT COMPLEX, JODHPUR CROSS ROAD, JODHPUR GAM ROAD,  SATELLITE0 380015"
483946,Ministry Of Momos,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,Chinese,"Ministry Of Momos, Shop Address-GF- 17, MANGALJYOT COMPLEX, JODHPUR CROSS ROAD, JODHPUR GAM ROAD,  SATELLITE0 380015"
181107,Sizzling - The Cake Room,"Vastrapur,Ahmedabad",0,Too Few Ratings,350,Desserts,"Sizzling - The Cake Room, Beside Sizzling Pizza, Opp. Falguni Gruh Udhyoh, Nehrupark, Vastrapur"
380709,Kwality Walls Frozen Dessert and Ice Cream Shop,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,Ice Cream,"Kwality Walls Frozen Dessert and Ice Cream Shop, HANSH PAN HOUSE: 7 NIDHI APARTMENTS, NEAR JUDGES BUNGALOWS CROSS ROAD, BODAKDEV, AHMEDABAD, GUJARAT-380015"
570238,Ninjin,"Vastrapur,Ahmedabad",0,Too Few Ratings,400,"Thai,Chinese","Ninjin, SHOWROOM NO. 07, GROUND FLOOR, ABHISHREE ADROIT, NR. MANSI CROSS ROAD, VASTRAPUR, AHMEDABAD, Ahmedabad, Gujarat-380015"
483948,Soup Fiesta,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,Chinese,"Soup Fiesta, Shop Address-GF- 17, MANGALJYOT COMPLEX, JODHPUR CROSS ROAD, JODHPUR GAM ROAD,  SATELLITE0 380015"
512355,360 Degree Pizzateria,"Vastrapur,Ahmedabad",0,Too Few Ratings,500,Pizzas,"360 Degree Pizzateria, 10 SHIVALIK AVENUE, OPP NIRAM HIGH SCHOOL, BODAKDEO, Ahmedabad, Gujarat-380054"
332746,Thali Central,"Vastrapur,Ahmedabad",3.6,100+ ratings,250,"Thalis,Fast Food","Thali Central, F.F-10, PRIME PLAZA, OPP. DLA SCHOOL, BODAKDEV, AHMEDABAD 380054"
55560,Shreejikrupa,"Vastrapur,Ahmedabad",4,50+ ratings,200,"Snacks,Beverages","Shreejikrupa, 3, Shreeji Tower, Opposite Himalaya Mall, Drive In Road, Gurukul, Ahmedabad"
377536,The Baker's Dozen,"Vastrapur,Ahmedabad",4.3,100+ ratings,300,"Bakery,Desserts","The Baker's Dozen, FF 6 Abhishree Complex OPP OM Tower Satellite Road Jodhpur Ahmedabad Gujarat 380015"
